Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2004-10-21,3.613614082336426,3.757006883621216,3.544044017791748,3.7382380962371826,3.7382380962371826,582996420,1.965000033378601,2.009500026702881,1.9249999523162842,1.9735000133514404,1.9735000133514404,384342000
2004-10-22,4.267767906188965,4.508759021759033,4.106105804443359,4.315064907073975,4.315064907073975,1474200324,1.8109999895095825,1.840000033378601,1.649999976158142,1.7300000190734863,1.7300000190734863,670886000
2004-10-25,4.414413928985596,4.8656158447265625,4.318068027496338,4.689690113067627,4.689690113067627,1309257432,1.7000000476837158,1.7204999923706055,1.6859999895095825,1.6985000371932983,1.6985000371932983,210636000
2004-10-26,4.663163185119629,4.8208208084106445,4.504505157470703,4.5495500564575195,4.5495500564575195,891391716,1.7074999809265137,1.7130000591278076,1.6755000352859497,1.691499948501587,1.691499948501587,194850000
2004-10-27,4.572573184967041,4.742743015289307,4.54879903793335,4.653903961181641,4.653903961181641,533725740,1.68149995803833,1.7315000295639038,1.680999994277954,1.7115000486373901,1.7115000486373901,181214000
2004-10-28,4.6716718673706055,4.864614963531494,4.6446452140808105,4.837337017059326,4.837337017059326,593278128,1.7120000123977661,1.7384999990463257,1.7070000171661377,1.722499966621399,1.722499966621399,144412000
2004-10-29,4.977227210998535,5.003754138946533,4.76977014541626,4.770771026611328,4.770771026611328,845653500,1.718000054359436,1.722499966621399,1.7000000476837158,1.7065000534057617,1.7065000534057617,129832000
2004-11-01,4.843594074249268,4.946697235107422,4.786537170410156,4.905655860900879,4.905655860900879,488507004,1.7109999656677246,1.7575000524520874,1.7074999809265137,1.7549999952316284,1.7549999952316284,123626000
2004-11-02,4.97447395324707,4.986236095428467,4.8383378982543945,4.876626968383789,4.876626968383789,453398148,1.7745000123977661,1.8244999647140503,1.7569999694824219,1.812000036239624,1.812000036239624,226650000
2004-11-03,4.959458827972412,5.045044898986816,4.773523807525635,4.796546936035156,4.796546936035156,554992452,1.8589999675750732,1.88100004196167,1.777999997138977,1.7960000038146973,1.7960000038146973,204164000
