Artist,Track,Album,Album_type,Views,Likes,Comments,Licensed,official_video,Stream,Views_state,comments_likes,stream_state
Travis Barker,SIDEWAYS (with Travis Barker),MY FAVORITE NIGHTMARES,single,1973329.0,35077.0,1040.0,True,True,11827646.0,low,low and low,low
Travis Barker,Ride the Lightning,Ride the Lightning,single,390589.0,5526.0,102.0,True,True,2405519.0,low,low and low,low
Nile Rodgers,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),single,148320.0,3332.0,63.0,True,True,36981245.0,low,low and low,medium
Nile Rodgers,AGUA,LEGENDADDY,album,56129815.0,587441.0,11121.0,False,True,46982369.0,high,high and high,medium
Nile Rodgers,Better Day (feat. Nile Rodgers & Josh Barry),Better Day (feat. Nile Rodgers & Josh Barry),single,28920.0,343.0,0.0,True,True,6602232.0,low,low and low,low
Nile Rodgers,Miami (Öwnboss Extended Remix) [feat. Nile Rodgers],Miami (Öwnboss Remix) [feat. Nile Rodgers],single,991.0,31.0,0.0,True,True,522723.0,low,low and low,low
Nile Rodgers,Everybody Dance,Everybody Dance,single,1776574.0,24251.0,700.0,True,True,21943104.0,low,low and low,medium
Nile Rodgers,Passion (feat. Nile Rodgers),Passion (feat. Nile Rodgers),single,458971.0,8259.0,303.0,True,True,3423969.0,low,low and low,low
Nile Rodgers,When Someone Loves You,When Someone Loves You,single,132545.0,2745.0,134.0,True,True,1383471.0,low,low and low,low
Nile Rodgers,Miami (Paul Woolford Remix) [feat. Nile Rodgers],Miami (feat. Nile Rodgers),single,899.0,22.0,2.0,False,True,773628.0,low,low and low,low
Nile Rodgers,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir) - James Hype Remix,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir) [James Hype Remix],single,148320.0,3332.0,63.0,True,True,1793940.0,low,low and low,low
